	CO	NO2	O3	SO2	PM2.5	PM10	aqi
0	867.84	122.01	3.67	13.83	27.26	42.34	123.0
1	867.84	122.01	3.67	13.83	27.26	42.34	123.0
2	867.84	122.01	3.67	13.83	27.26	42.34	123.0
3	307.08	43.87	60.8	3.1	4.31	12.11	55.0
4	307.08	43.87	60.8	3.1	4.31	12.11	55.0
5	307.08	43.87	60.8	3.1	4.31	12.11	55.0
6	307.08	43.87	60.8	3.1	4.31	12.11	55.0
7	307.08	43.87	60.8	3.1	4.31	12.11	55.0
8	307.08	43.87	60.8	3.1	4.31	12.11	55.0
9	307.08	43.87	60.8	3.1	4.31	12.11	55.0
10	307.08	43.87	60.8	3.1	4.31	12.11	55.0
11	307.08	43.87	60.8	3.1	4.31	12.11	55.0
12	307.08	43.87	60.8	3.1	4.31	12.11	55.0
13	307.08	43.87	60.8	3.1	4.31	12.11	55.0
14	307.08	43.87	60.8	3.1	4.31	12.11	55.0
15	307.08	43.87	60.8	3.1	4.31	12.11	55.0
16	307.08	43.87	60.8	3.1	4.31	12.11	55.0
17	307.08	43.87	60.8	3.1	4.31	12.11	55.0
18	307.08	43.87	60.8	3.1	4.31	12.11	55.0
19	307.08	43.87	60.8	3.1	4.31	12.11	55.0
20	347.14	51.41	43.27	3.82	6.2	16.85	64.0
21	347.14	51.41	43.27	3.82	6.2	16.85	64.0
22	210.29	8.82	95.84	1.33	2.44	8.86	152.0
23	210.29	8.82	95.84	1.33	2.44	8.86	152.0
24	307.08	43.87	60.8	3.1	4.31	12.11	55.0
25	307.08	43.87	60.8	3.1	4.31	12.11	55.0
26	307.08	43.87	60.8	3.1	4.31	12.11	55.0
27	307.08	43.87	60.8	3.1	4.31	12.11	55.0
28	307.08	43.87	60.8	3.1	4.31	12.11	55.0
29	347.14	51.41	43.27	3.82	6.2	16.85	64.0
30	307.08	43.87	60.8	3.1	4.31	12.11	55.0
31	210.29	8.82	95.84	1.33	2.44	8.86	152.0
32	307.08	43.87	60.8	3.1	4.31	12.11	55.0
33	307.08	43.87	60.8	3.1	4.31	12.11	55.0
34	307.08	43.87	60.8	3.1	4.31	12.11	55.0
35	307.08	43.87	60.8	3.1	4.31	12.11	55.0
36	307.08	43.87	60.8	3.1	4.31	12.11	55.0
37	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
38	307.08	43.87	60.8	3.1	4.31	12.11	55.0
39	347.14	51.41	43.27	3.82	6.2	16.85	64.0
40	867.84	122.01	3.67	13.83	27.26	42.34	123.0
41	867.84	122.01	3.67	13.83	27.26	42.34	123.0
42	867.84	122.01	3.67	13.83	27.26	42.34	123.0
43	307.08	43.87	60.8	3.1	4.31	12.11	55.0
44	867.84	122.01	3.67	13.83	27.26	42.34	123.0
45	307.08	43.87	60.8	3.1	4.31	12.11	55.0
46	210.29	8.82	95.84	1.33	2.44	8.86	152.0
47	867.84	122.01	3.67	13.83	27.26	42.34	123.0
48	307.08	43.87	60.8	3.1	4.31	12.11	55.0
49	867.84	122.01	3.67	13.83	27.26	42.34	123.0
50	867.84	122.01	3.67	13.83	27.26	42.34	123.0
51	867.84	122.01	3.67	13.83	27.26	42.34	123.0
52	307.08	43.87	60.8	3.1	4.31	12.11	55.0
53	347.14	51.41	43.27	3.82	6.2	16.85	64.0
54	210.29	8.82	95.84	1.33	2.44	8.86	152.0
55	307.08	43.87	60.8	3.1	4.31	12.11	55.0
56	210.29	8.82	95.84	1.33	2.44	8.86	152.0
57	210.29	8.82	95.84	1.33	2.44	8.86	152.0
58	307.08	43.87	60.8	3.1	4.31	12.11	55.0
59	307.08	43.87	60.8	3.1	4.31	12.11	55.0
60	307.08	43.87	60.8	3.1	4.31	12.11	55.0
61	947.95	138.46	45.78	11.09	61.1	83.94	141.0
62	210.29	8.82	95.84	1.33	2.44	8.86	152.0
63	947.95	138.46	45.78	11.09	61.1	83.94	141.0
64	947.95	138.46	45.78	11.09	61.1	83.94	141.0
65	307.08	43.87	60.8	3.1	4.31	12.11	55.0
66	320.44	26.05	90.12	2.41	6.58	14.24	137.0
67	947.95	138.46	45.78	11.09	61.1	83.94	141.0
68	1014.71	183.7	11.44	38.15	41.32	58.67	169.0
69	210.29	8.82	95.84	1.33	2.44	8.86	152.0
70	307.08	43.87	60.8	3.1	4.31	12.11	55.0
71	307.08	43.87	60.8	3.1	4.31	12.11	55.0
72	867.84	122.01	3.67	13.83	27.26	42.34	123.0
73	867.84	122.01	3.67	13.83	27.26	42.34	123.0
74	867.84	122.01	3.67	13.83	27.26	42.34	123.0
75	867.84	122.01	3.67	13.83	27.26	42.34	123.0
76	307.08	43.87	60.8	3.1	4.31	12.11	55.0
