	wind_degree	humidity	temp_c
0	270.0	18.0	24.4
1	270.0	18.0	24.4
2	270.0	18.0	24.4
3	270.0	18.0	24.4
4	270.0	18.0	24.4
5	270.0	18.0	24.4
6	270.0	18.0	24.4
7	270.0	18.0	24.4
8	270.0	18.0	24.4
9	270.0	18.0	24.4
10	270.0	18.0	24.4
11	270.0	18.0	24.4
12	270.0	18.0	24.4
13	270.0	18.0	24.4
14	270.0	18.0	24.4
15	270.0	18.0	24.4
16	270.0	18.0	24.4
17	270.0	18.0	24.4
18	270.0	18.0	24.4
19	270.0	18.0	24.4
20	270.0	18.0	24.4
21	270.0	18.0	24.4
22	270.0	18.0	24.4
23	270.0	18.0	24.4
24	270.0	18.0	24.4
25	270.0	18.0	24.4
26	200.0	25.0	21.7
27	270.0	18.0	24.4
28	270.0	18.0	24.4
29	270.0	18.0	24.4
30	270.0	18.0	24.4
31	270.0	18.0	24.4
32	270.0	18.0	24.4
33	270.0	18.0	24.4
34	270.0	18.0	24.4
35	270.0	18.0	24.4
36	200.0	25.0	21.7
37	270.0	18.0	24.4
38	200.0	25.0	21.7
39	270.0	18.0	24.4
40	270.0	18.0	24.4
41	270.0	18.0	24.4
42	270.0	18.0	24.4
43	220.0	24.0	22.8
44	270.0	18.0	24.4
45	270.0	18.0	24.4
46	220.0	24.0	22.8
47	270.0	18.0	24.4
48	270.0	18.0	24.4
49	270.0	18.0	24.4
50	270.0	18.0	24.4
51	270.0	18.0	24.4
52	270.0	18.0	24.4
53	270.0	18.0	24.4
54	270.0	18.0	24.4
55	200.0	25.0	21.7
56	270.0	18.0	24.4
57	270.0	18.0	24.4
58	220.0	24.0	22.8
59	220.0	24.0	22.8
60	270.0	18.0	24.4
61	220.0	24.0	22.8
62	220.0	24.0	22.8
63	270.0	18.0	24.4
64	270.0	18.0	24.4
65	270.0	18.0	24.4
66	270.0	18.0	24.4
67	270.0	18.0	24.4
68	270.0	18.0	24.4
69	220.0	24.0	22.8
70	270.0	18.0	24.4
71	270.0	18.0	24.4
