zip_code,y-2016
90001,57942
90002,51826
90003,70208
90004,63095
90005,39338
90006,61230
90007,41979
90008,32060
90010,3524
90011,104762
90012,32543
90013,11668
90014,7191
90015,19378
90016,47079
90017,25772
90018,51639
90019,68530
90020,40170
90021,2954
90022,67191
90023,46611
90024,49737
90025,46520
90026,67557
90027,46043
90028,31122
90029,40242
90031,38940
90032,47285
90033,49156
90034,57443
90035,30582
90036,37931
90037,61451
90038,28155
90039,28436
90040,12812
90041,28405
90042,63109
90043,44328
90044,90155
90045,41145
90046,50923
90047,48306
90048,22722
90049,35581
90056,8118
90057,48302
90058,2674
90059,46027
90061,27203
90062,33690
90063,54142
90064,27032
90065,46965
90066,59258
90067,2355
90068,21450
90069,20435
90071,0
90073,915
90077,8912
90079,0
90089,3680
90090,0
90094,8072
90095,0
90201,102786
90210,20957
90211,8129
90212,12915
90220,51271
90221,53922
90222,32195
90230,32692
90232,14810
90240,26426
90241,44815
90242,41982
90245,16901
90247,47706
90248,10592
90249,26795
90250,96987
90254,19726
90255,75770
90260,35569
90262,71197
90263,1887
90265,18394
90266,35573
90270,27575
90272,23151
90274,25503
90275,42545
90277,35204
90278,40582
90280,95219
90290,5974
90291,27277
90292,22482
90293,12649
90301,36429
90302,31064
90303,25134
90304,27008
90305,15777
90401,7621
90402,11410
90403,24539
90404,22201
90405,28861
90501,43405
90502,17855
90503,44562
90504,33609
90505,37242
90506,0
90601,34169
90602,26778
90603,20325
90604,41371
90605,41305
90606,32499
90620,46550
90621,35168
90623,15886
90630,49093
90631,68971
90638,49876
90640,63461
90650,106360
90660,63684
90670,16266
90680,30373
90701,16842
90703,50442
90704,3912
90706,77687
90710,27914
90712,31722
90713,28833
90715,20064
90716,14383
90717,21658
90720,22413
90723,54941
90731,61046
90732,21763
90740,24296
90742,627
90743,368
90744,57432
90745,57785
90746,26584
90747,0
90755,11491
90802,39873
90803,31680
90804,40751
90805,95808
90806,42312
90807,33217
90808,38637
90810,37422
90813,60997
90814,18760
90815,39822
90822,148
90831,0
91001,37699
91006,32106
91007,34619
91008,1203
91010,26000
91011,20679
91016,41901
91020,8448
91024,11067
91030,25905
91040,19587
91042,27164
91046,125
91101,20761
91103,28124
91104,38725
91105,11728
91106,24875
91107,32027
91108,13675
91201,23510
91202,23219
91203,14051
91204,17681
91205,37664
91206,34247
91207,10071
91208,17180
91210,886
91214,30935
91301,26007
91302,25906
91303,29668
91304,52846
91306,49043
91307,26703
91311,38479
91316,29485
91320,45502
91321,34664
91324,29689
91325,33558
91326,36168
91330,3328
91331,101536
91335,80161
91340,35681
91342,95222
91343,64323
91344,53290
91345,18763
91350,37400
91351,33247
91352,47079
91354,30058
91355,33129
91356,29728
91360,43222
91361,20808
91362,35862
91364,27607
91367,42319
91371,0
91377,14885
91381,20790
91384,29676
91387,44106
91390,20546
91401,41019
91402,71765
91403,24579
91405,54356
91406,55385
91411,25290
91423,34140
91436,14353
91501,20110
91502,12080
91504,26833
91505,30985
91506,18125
91601,39318
91602,18615
91604,30386
91605,55377
91606,45040
91607,31405
91608,0
91701,40870
91702,61968
91706,77667
91708,2893
91709,77266
91710,87071
91711,36957
91722,35407
91723,19258
91724,26190
91730,68807
91731,30179
91732,62855
91733,44622
91737,25508
91739,38681
91740,26555
91741,25780
91744,86638
91745,54043
91746,31319
91748,46565
91750,34156
91752,29801
91754,33514
91755,27487
91759,417
91761,59933
91762,58223
91763,37786
91764,54303
91765,47493
91766,72100
91767,49483
91768,36365
91770,63552
91773,34222
91775,25389
91776,37843
91780,35674
91784,25999
91786,52951
91789,43973
91790,46374
91791,33484
91792,29493
91801,55265
91803,29502
91901,18586
91902,19429
91905,1539
91906,3565
91910,76027
91911,84241
91913,47494
91914,16865
91915,30679
91916,1542
91917,937
91931,474
91932,26801
91934,274
91935,8347
91941,33077
91942,39795
91945,26673
91948,13
91950,62078
91962,2190
91963,988
91977,62065
91978,9804
91980,595
92003,4905
92004,2520
92007,11929
92008,26968
92009,44330
92010,15551
92011,24899
92014,13665
92019,43200
92020,58554
92021,69552
92024,50246
92025,53742
92026,49327
92027,56899
92028,48468
92029,18758
