	zip_code	y-2016	latitude	longitude
0	90001	57942	33.9731	-118.2479
1	90002	51826	33.9497	-118.2462
2	90003	70208	33.9653	-118.2727
3	90004	63095	34.0762	-118.3029
4	90005	39338	34.0585	-118.3012
5	90006	61230	34.0493	-118.2917
6	90007	41979	34.0294	-118.2871
7	90008	32060	34.0116	-118.3411
8	90010	3524	34.0606	-118.3027
9	90011	104762	34.0079	-118.2582
10	90012	32543	34.0614	-118.2385
11	90013	11668	34.0448	-118.2434
12	90014	7191	34.0443	-118.2509
13	90015	19378	34.0434	-118.2716
14	90016	47079	34.0298	-118.3528
15	90017	25772	34.0559	-118.2666
16	90018	51639	34.029	-118.3152
17	90019	68530	34.0482	-118.3343
18	90020	40170	34.0665	-118.3022
19	90021	2954	34.0333	-118.2447
20	90022	67191	34.0245	-118.1561
21	90023	46611	34.0245	-118.1975
22	90024	49737	34.0637	-118.4408
23	90025	46520	34.0447	-118.4487
24	90026	67557	34.0766	-118.2646
25	90027	46043	34.104	-118.2925
26	90028	31122	34.1005	-118.3254
27	90029	40242	34.09	-118.2944
28	90031	38940	34.0783	-118.2113
29	90032	47285	34.0818	-118.1753
30	90033	49156	34.0487	-118.2084
31	90034	57443	34.029	-118.4005
32	90035	30582	34.0531	-118.3806
33	90036	37931	34.0699	-118.3492
34	90037	61451	34.003	-118.2863
35	90038	28155	34.0898	-118.3215
36	90039	28436	34.1121	-118.2594
37	90040	12812	33.9909	-118.1532
38	90041	28405	34.1339	-118.2082
39	90042	63109	34.1145	-118.1929
40	90043	44328	33.9871	-118.3321
41	90044	90155	33.9551	-118.2901
42	90045	41145	33.9631	-118.3941
43	90046	50923	34.1074	-118.3652
44	90047	48306	33.9569	-118.3073
45	90048	22722	34.0737	-118.372
46	90049	35581	34.066	-118.474
47	90056	8118	33.9853	-118.3707
48	90057	48302	34.0622	-118.2763
49	90058	2674	33.9994	-118.2133
50	90059	46027	33.9293	-118.2463
51	90061	27203	33.9245	-118.2716
52	90062	33690	34.0032	-118.3073
53	90063	54142	34.0451	-118.1859
54	90064	27032	34.0353	-118.4259
55	90065	46965	34.1073	-118.2266
56	90066	59258	34.003	-118.4298
57	90067	2355	34.0551	-118.4095
58	90068	21450	34.1156	-118.3305
59	90069	20435	34.0906	-118.3788
60	90071	0	34.0529	-118.2549
61	90073	915	33.7866	-118.2987
62	90077	8912	34.1112	-118.4502
63	90079	0	33.7866	-118.2987
64	90089	3680	33.7866	-118.2987
65	90090	0	34.0725	-118.2418
66	90094	8072	33.9728	-118.4276
67	90095	0	33.7866	-118.2987
68	90201	102786	33.9653	-118.1515
69	90210	20957	34.0901	-118.4065
70	90211	8129	34.0652	-118.383
71	90212	12915	34.0619	-118.3995
72	90220	51271	33.8748	-118.2402
73	90221	53922	33.8796	-118.2168
74	90222	32195	33.9099	-118.2357
75	90230	32692	33.9949	-118.3991
76	90232	14810	34.0168	-118.3973
77	90240	26426	33.9581	-118.1174
78	90241	44815	33.9416	-118.1306
79	90242	41982	33.9218	-118.1395
80	90245	16901	33.9243	-118.4119
81	90247	47706	33.8925	-118.2961
82	90248	10592	33.8766	-118.2835
83	90249	26795	33.8998	-118.3199
84	90250	96987	33.9143	-118.3493
85	90254	19726	33.8643	-118.3955
86	90255	75770	33.9769	-118.2161
87	90260	35569	33.8879	-118.351
88	90262	71197	33.9241	-118.2013
89	90263	1887	34.005	-118.8101
90	90265	18394	34.0402	-118.7351
91	90266	35573	33.8896	-118.3996
92	90270	27575	33.989	-118.1877
93	90272	23151	34.0481	-118.5265
94	90274	25503	33.7669	-118.3806
95	90275	42545	33.7515	-118.367
96	90277	35204	33.8307	-118.3832
97	90278	40582	33.8707	-118.3715
98	90280	95219	33.9462	-118.2013
99	90290	5974	34.1076	-118.6023
100	90291	27277	33.9938	-118.4635
101	90292	22482	33.9779	-118.4525
102	90293	12649	33.9577	-118.4373
103	90301	36429	33.955	-118.3556
104	90302	31064	33.9745	-118.3548
105	90303	25134	33.9377	-118.3321
106	90304	27008	33.9379	-118.3586
107	90305	15777	33.9583	-118.3259
108	90401	7621	34.0176	-118.4907
109	90402	11410	34.0349	-118.503
110	90403	24539	34.0287	-118.4924
111	90404	22201	34.0268	-118.4733
112	90405	28861	34.01	-118.4717
113	90501	43405	33.8268	-118.3118
114	90502	17855	33.8286	-118.292
115	90503	44562	33.8397	-118.3542
116	90504	33609	33.8708	-118.3295
117	90505	37242	33.8106	-118.3507
118	90506	0	33.7866	-118.2987
119	90601	34169	34.0011	-118.0371
120	90602	26778	33.9693	-118.0337
121	90603	20325	33.9432	-117.9927
122	90604	41371	33.9299	-118.0121
123	90605	41305	33.9413	-118.0356
124	90606	32499	33.9777	-118.0658
125	90620	46550	33.8439	-118.008
126	90621	35168	33.8772	-117.9893
127	90623	15886	33.8491	-118.0398
128	90630	49093	33.8181	-118.0357
129	90631	68971	33.9331	-117.9493
130	90638	49876	33.9067	-118.0101
131	90640	63461	34.0133	-118.113
132	90650	106360	33.9056	-118.0818
133	90660	63684	33.9886	-118.0883
134	90670	16266	33.9464	-118.0838
135	90680	30373	33.7991	-117.9956
136	90701	16842	33.8654	-118.0731
137	90703	50442	33.8669	-118.0686
138	90704	3912	33.332	-118.3437
139	90706	77687	33.8867	-118.1265
140	90710	27914	33.797	-118.2991
141	90712	31722	33.8512	-118.1457
142	90713	28833	33.8473	-118.1115
143	90715	20064	33.8405	-118.0767
144	90716	14383	33.8296	-118.073
145	90717	21658	33.7938	-118.3172
146	90720	22413	33.7956	-118.0648
147	90723	54941	33.8969	-118.1632
148	90731	61046	33.7339	-118.2914
149	90732	21763	33.742	-118.3121
150	90740	24296	33.7602	-118.0808
151	90742	627	33.7164	-118.069
152	90743	368	33.7264	-118.0833
153	90744	57432	33.7855	-118.2645
154	90745	57785	33.823	-118.2684
155	90746	26584	33.8584	-118.2554
156	90747	0	33.8671	-118.2538
157	90755	11491	33.8029	-118.1677
158	90802	39873	33.7706	-118.182
159	90803	31680	33.7619	-118.1341
160	90804	40751	33.7857	-118.1357
161	90805	95808	33.8635	-118.1801
162	90806	42312	33.8045	-118.1876
163	90807	33217	33.8315	-118.1811
164	90808	38637	33.8241	-118.1103
165	90810	37422	33.8193	-118.2325
166	90813	60997	33.782	-118.1835
167	90814	18760	33.7716	-118.148
168	90815	39822	33.7939	-118.1192
169	90822	148	33.7927	-118.1638
170	90831	0	33.7678	-118.1994
171	91001	37699	34.1912	-118.1392
172	91006	32106	34.1324	-118.0264
173	91007	34619	34.1243	-118.0515
174	91008	1203	34.149	-117.9644
175	91010	26000	34.1407	-117.9567
176	91011	20679	34.2217	-118.2051
177	91016	41901	34.144	-118.0014
178	91020	8448	34.2114	-118.2305
179	91024	11067	34.1651	-118.0519
180	91030	25905	34.1109	-118.1547
181	91040	19587	34.2618	-118.3371
182	91042	27164	34.2544	-118.2849
183	91046	125	34.2114	-118.2395
184	91101	20761	34.1468	-118.1391
185	91103	28124	34.1669	-118.1551
186	91104	38725	34.1678	-118.1261
187	91105	11728	34.1355	-118.1636
188	91106	24875	34.1435	-118.1266
189	91107	32027	34.151	-118.0889
190	91108	13675	34.1207	-118.1117
191	91201	23510	34.1716	-118.2899
192	91202	23219	34.1652	-118.2656
193	91203	14051	34.1517	-118.2636
194	91204	17681	34.1379	-118.2599
195	91205	37664	34.1378	-118.2425
196	91206	34247	34.1556	-118.2322
197	91207	10071	34.1649	-118.2451
198	91208	17180	34.1921	-118.235
199	91210	886	34.1425	-118.2551
200	91214	30935	34.2316	-118.2457
201	91301	26007	34.1227	-118.7573
202	91302	25906	34.1419	-118.6641
203	91303	29668	34.1993	-118.5983
204	91304	52846	34.2197	-118.6111
205	91306	49043	34.2092	-118.5749
206	91307	26703	34.1963	-118.6389
207	91311	38479	34.2583	-118.5914
208	91316	29485	34.1655	-118.5175
209	91320	45502	34.1774	-118.9358
210	91321	34664	34.3795	-118.523
211	91324	29689	34.2367	-118.5466
212	91325	33558	34.2353	-118.5188
213	91326	36168	34.2619	-118.582
214	91330	3328	34.2283	-118.5368
215	91331	101536	34.2556	-118.4208
216	91335	80161	34.2007	-118.5391
217	91340	35681	34.2875	-118.4352
218	91342	95222	34.3054	-118.4322
219	91343	64323	34.2366	-118.4758
220	91344	53290	34.2771	-118.4992
221	91345	18763	34.2619	-118.4587
222	91350	37400	34.4336	-118.5007
223	91351	33247	34.4262	-118.449
224	91352	47079	34.2209	-118.3699
225	91354	30058	34.4466	-118.5374
226	91355	33129	34.3985	-118.5535
227	91356	29728	34.1671	-118.5414
228	91360	43222	34.2092	-118.8739
229	91361	20808	34.1472	-118.8383
230	91362	35862	34.1948	-118.8232
231	91364	27607	34.1557	-118.6
232	91367	42319	34.1767	-118.6159
233	91371	0	34.1683	-118.6059
234	91377	14885	34.185	-118.7669
235	91381	20790	34.3775	-118.6131
236	91384	29676	34.4827	-118.6254
237	91387	44106	34.4132	-118.426
238	91390	20546	34.4684	-118.5261
239	91401	41019	34.1802	-118.4324
240	91402	71765	34.2262	-118.447
241	91403	24579	34.1514	-118.4603
242	91405	54356	34.2001	-118.4456
243	91406	55385	34.2006	-118.4868
244	91411	25290	34.1781	-118.4574
245	91423	34140	34.1526	-118.4322
246	91436	14353	34.151	-118.4882
247	91501	20110	34.1862	-118.3009
248	91502	12080	34.1745	-118.3059
249	91504	26833	34.2001	-118.3264
250	91505	30985	34.169	-118.3442
251	91506	18125	34.1717	-118.3231
252	91601	39318	34.1687	-118.3713
253	91602	18615	34.151	-118.3663
254	91604	30386	34.143	-118.3913
255	91605	55377	34.2057	-118.4001
256	91606	45040	34.1872	-118.3865
257	91607	31405	34.1672	-118.3989
258	91608	0	34.1383	-118.3528
259	91701	40870	34.1376	-117.5999
260	91702	61968	34.1248	-117.9031
